Name,Embarked
"Barton, Mr. David John",S
"Jussila, Miss. Katriina",S
"Attalah, Miss. Malake",C
"Pekoniemi, Mr. Edvard",S
"Connors, Mr. Patrick",Q
"Turpin, Mr. William John Robert",S
"Baxter, Mr. Quigg Edmond",C
"Andersson, Miss. Ellis Anna Maria",S
"Hickman, Mr. Stanley George",S
"Moore, Mr. Leonard Charles",S
"Nasser, Mr. Nicholas",C
"Webber, Miss. Susan",S
"White, Mr. Percival Wayland",S
"Nicola-Yarred, Master. Elias",C
"McMahon, Mr. Martin",Q
"Madsen, Mr. Fridtjof Arne",S
"Peter, Miss. Anna",C
"Ekstrom, Mr. Johan",S
"Drazenoic, Mr. Jozef",C
"Coelho, Mr. Domingos Fernandeo",S
"Robins, Mrs. Alexander A (Grace Charity Laury)",S
"Weisz, Mrs. Leopold (Mathilde Francoise Pede)",S
"Sobey, Mr. Samuel James Hayden",S
"Richard, Mr. Emile",C
"Newsom, Miss. Helen Monypeny",S
"Futrelle, Mr. Jacques Heath",S
"Osen, Mr. Olaf Elon",S
"Giglio, Mr. Victor",C
"Boulos, Mrs. Joseph (Sultana)",C
"Nysten, Miss. Anna Sofia",S
"Hakkarainen, Mrs. Pekka Pietari (Elin Matilda Dolck)",S
"Burke, Mr. Jeremiah",Q
"Andrew, Mr. Edgardo Samuel",S
"Nicholls, Mr. Joseph Charles",S
"Andersson, Mr. August Edvard (""Wennerstrom"")",S
"Ford, Miss. Robina Maggie ""Ruby""",S
"Navratil, Mr. Michel (""Louis M Hoffman"")",S
"Byles, Rev. Thomas Roussel Davids",S
"Bateman, Rev. Robert James",S
"Pears, Mrs. Thomas (Edith Wearne)",S
"Meo, Mr. Alfonzo",S
"van Billiard, Mr. Austin Blyler",S
"Olsen, Mr. Ole Martin",S
"Williams, Mr. Charles Duane",C
"Gilnagh, Miss. Katherine ""Katie""",Q
"Corn, Mr. Harry",S
"Smiljanic, Mr. Mile",S
"Sage, Master. Thomas Henry",S
"Cribb, Mr. John Hatfield",S
"Watt, Mrs. James (Elizabeth ""Bessie"" Inglis Milne)",S
"Bengtsson, Mr. John Viktor",S
"Calic, Mr. Jovo",S
"Panula, Master. Eino Viljami",S
"Goldsmith, Master. Frank John William ""Frankie""",S
"Chibnall, Mrs. (Edith Martha Bowerman)",S
"Skoog, Mrs. William (Anna Bernhardina Karlsson)",S
"Baumann, Mr. John D",S
"Ling, Mr. Lee",S
"Van der hoef, Mr. Wyckoff",S
"Rice, Master. Arthur",Q
"Johnson, Miss. Eleanor Ileen",S
"Sivola, Mr. Antti Wilhelm",S
"Smith, Mr. James Clinch",C
"Klasen, Mr. Klas Albin",S
"Lefebre, Master. Henry Forbes",S
"Isham, Miss. Ann Elizabeth",C
"Hale, Mr. Reginald",S
"Leonard, Mr. Lionel",S
"Sage, Miss. Constance Gladys",S
"Pernot, Mr. Rene",C
"Asplund, Master. Clarence Gustaf Hugo",S
"Becker, Master. Richard F",S
"Kink-Heilmann, Miss. Luise Gretchen",S
"Rood, Mr. Hugh Roscoe",S
"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",Q
"Romaine, Mr. Charles Hallace (""Mr C Rolmane"")",S
"Bourke, Mr. John",Q
"Turcin, Mr. Stjepan",S
"Pinsky, Mrs. (Rosa)",S
"Carbines, Mr. William",S
"Andersen-Jensen, Miss. Carla Christine Nielsine",S
"Navratil, Master. Michel M",S
"Brown, Mrs. James Joseph (Margaret Tobin)",C
"Lurette, Miss. Elise",C
"Mernagh, Mr. Robert",Q
"Olsen, Mr. Karl Siegwart Andreas",S
"Madigan, Miss. Margaret ""Maggie""",Q
"Yrois, Miss. Henriette (""Mrs Harbeck"")",S
"Vande Walle, Mr. Nestor Cyriel",S
"Sage, Mr. Frederick",S
"Johanson, Mr. Jakob Alfred",S
"Youseff, Mr. Gerious",C
"Cohen, Mr. Gurshon ""Gus""",S
"Strom, Miss. Telma Matilda",S
"Backstrom, Mr. Karl Alfred",S
"Albimona, Mr. Nassef Cassem",C
"Carr, Miss. Helen ""Ellen""",Q
"Blank, Mr. Henry",C
"Ali, Mr. Ahmed",S
"Cameron, Miss. Clear Annie",S
"Perkin, Mr. John Henry",S
"Givard, Mr. Hans Kristensen",S
"Kiernan, Mr. Philip",Q
"Newell, Miss. Madeleine",C
"Honkanen, Miss. Eliina",S
"Jacobsohn, Mr. Sidney Samuel",S
"Bazzani, Miss. Albina",C
"Harris, Mr. Walter",S
"Sunderland, Mr. Victor Francis",S
"Bracken, Mr. James H",S
"Green, Mr. George Henry",S
"Nenkoff, Mr. Christo",S
"Hoyt, Mr. Frederick Maxfield",S
"Berglund, Mr. Karl Ivar Sven",S
"Mellors, Mr. William John",S
"Lovell, Mr. John Hall (""Henry"")",S
"Fahlstrom, Mr. Arne Jonas",S
"Lefebre, Miss. Mathilde",S
"Harris, Mrs. Henry Birkhardt (Irene Wallach)",S
"Larsson, Mr. Bengt Edvin",S
"Sjostedt, Mr. Ernst Adolf",S
"Asplund, Miss. Lillian Gertrud",S
"Leyson, Mr. Robert William Norman",S
"Harknett, Miss. Alice Phoebe",S
"Hold, Mr. Stephen",S
"Collyer, Miss. Marjorie ""Lottie""",S
"Pengelly, Mr. Frederick William",S
"Hunt, Mr. George Henry",S
"Zabour, Miss. Thamine",C
"Murphy, Miss. Katherine ""Kate""",Q
"Coleridge, Mr. Reginald Charles",S
"Maenpaa, Mr. Matti Alexanteri",S
"Attalah, Mr. Sleiman",C
"Minahan, Dr. William Edward",Q
"Lindahl, Miss. Agda Thorilda Viktoria",S
"Hamalainen, Mrs. William (Anna)",S
"Beckwith, Mr. Richard Leonard",S
"Carter, Rev. Ernest Courtenay",S
"Reed, Mr. James George",S
"Strom, Mrs. Wilhelm (Elna Matilda Persson)",S
"Stead, Mr. William Thomas",S
"Lobb, Mr. William Arthur",S
"Rosblom, Mrs. Viktor (Helena Wilhelmina)",S
"Touma, Mrs. Darwis (Hanne Youssef Razi)",C
"Thorne, Mrs. Gertrude Maybelle",C
"Cherry, Miss. Gladys",S
"Ward, Miss. Anna",C
"Parrish, Mrs. (Lutie Davis)",S
"Smith, Mr. Thomas",Q
"Asplund, Master. Edvin Rojj Felix",S
"Taussig, Mr. Emil",S
"Harrison, Mr. William",S
"Henry, Miss. Delia",Q
"Reeves, Mr. David",S
"Panula, Mr. Ernesti Arvid",S
"Persson, Mr. Ernst Ulrik",S
"Graham, Mrs. William Thompson (Edith Junkins)",S
"Bissette, Miss. Amelia",S
"Cairns, Mr. Alexander",S
"Tornquist, Mr. William Henry",S
"Mellinger, Mrs. (Elizabeth Anne Maidment)",S
"Natsch, Mr. Charles H",C
"Healy, Miss. Hanora ""Nora""",Q
"Andrews, Miss. Kornelia Theodosia",S
"Lindblom, Miss. Augusta Charlotta",S
"Parkes, Mr. Francis ""Frank""",S
"Rice, Master. Eric",Q
"Abbott, Mrs. Stanton (Rosa Hunt)",S
"Duane, Mr. Frank",Q
"Olsson, Mr. Nils Johan Goransson",S
"de Pelsmaeker, Mr. Alfons",S
"Dorking, Mr. Edward Arthur",S
"Smith, Mr. Richard William",S
"Stankovic, Mr. Ivan",C
"de Mulder, Mr. Theodore",S
"Naidenoff, Mr. Penko",S
"Hosono, Mr. Masabumi",S
"Connolly, Miss. Kate",Q
"Barber, Miss. Ellen ""Nellie""",S
"Bishop, Mrs. Dickinson H (Helen Walton)",C
"Levy, Mr. Rene Jacques",C
"Haas, Miss. Aloisia",S
"Mineff, Mr. Ivan",S
"Lewy, Mr. Ervin G",C
"Hanna, Mr. Mansour",C
"Allison, Miss. Helen Loraine",S
"Saalfeld, Mr. Adolphe",S
"Baxter, Mrs. James (Helene DeLaudeniere Chaput)",C
"Kelly, Miss. Anna Katherine ""Annie Kate""",Q
"McCoy, Mr. Bernard",Q
"Johnson, Mr. William Cahoone Jr",S
"Keane, Miss. Nora A",Q
"Williams, Mr. Howard Hugh ""Harry""",S
"Allison, Master. Hudson Trevor",S
"Fleming, Miss. Margaret",C
"Penasco y Castellana, Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo)",C
"Abelson, Mr. Samuel",C
"Francatelli, Miss. Laura Mabel",C
"Hays, Miss. Margaret Bechstein",C
"Ryerson, Miss. Emily Borie",C
"Lahtinen, Mrs. William (Anna Sylfven)",S
"Hendekovic, Mr. Ignjac",S
"Hart, Mr. Benjamin",S
"Nilsson, Miss. Helmina Josefina",S
"Kantor, Mrs. Sinai (Miriam Sternin)",S
"Moraweck, Dr. Ernest",S
"Wick, Miss. Mary Natalie",S
"Spedden, Mrs. Frederic Oakley (Margaretta Corning Stone)",C
"Dennis, Mr. Samuel",S
"Danoff, Mr. Yoto",S
"Slayter, Miss. Hilda Mary",Q
"Caldwell, Mrs. Albert Francis (Sylvia Mae Harbaugh)",S
"Sage, Mr. George John Jr",S
"Young, Miss. Marie Grice",C
"Nysveen, Mr. Johan Hansen",S
"Ball, Mrs. (Ada E Hall)",S
"Goldsmith, Mrs. Frank John (Emily Alice Brown)",S
"Hippach, Miss. Jean Gertrude",C
"McCoy, Miss. Agnes",Q
"Partner, Mr. Austen",S
"Graham, Mr. George Edward",S
"Vander Planke, Mr. Leo Edmondus",S
"Frauenthal, Mrs. Henry William (Clara Heinsheimer)",S
"Denkoff, Mr. Mitto",S
"Pears, Mr. Thomas Clinton",S
"Burns, Miss. Elizabeth Margaret",C
"Dahl, Mr. Karl Edwart",S
"Blackwell, Mr. Stephen Weart",S
"Navratil, Master. Edmond Roger",S
"Fortune, Miss. Alice Elizabeth",S
"Collander, Mr. Erik Gustaf",S
"Sedgwick, Mr. Charles Frederick Waddington",S
"Fox, Mr. Stanley Hubert",S
"Brown, Miss. Amelia ""Mildred""",S
"Smith, Miss. Marion Elsie",S
"Davison, Mrs. Thomas Henry (Mary E Finck)",S
"Coutts, Master. William Loch ""William""",S
"Dimic, Mr. Jovan",S
"Odahl, Mr. Nils Martin",S
"Williams-Lambert, Mr. Fletcher Fellows",S
"Elias, Mr. Tannous",C
"Arnold-Franchi, Mr. Josef",S
"Yousif, Mr. Wazli",C
"Vanden Steen, Mr. Leo Peter",S
"Bowerman, Miss. Elsie Edith",S
"Funk, Miss. Annie Clemmer",S
"McGovern, Miss. Mary",Q
"Mockler, Miss. Helen Mary ""Ellie""",Q
"Skoog, Mr. Wilhelm",S
"del Carlo, Mr. Sebastiano",C
"Barbara, Mrs. (Catherine David)",C
"Asim, Mr. Adola",S
"O'Brien, Mr. Thomas",Q
"Adahl, Mr. Mauritz Nils Martin",S
"Warren, Mrs. Frank Manley (Anna Sophia Atkinson)",C
"Moussa, Mrs. (Mantoura Boulos)",C
"Jermyn, Miss. Annie",Q
"Aubart, Mme. Leontine Pauline",C
"Harder, Mr. George Achilles",C
"Wiklund, Mr. Jakob Alfred",S
"Beavan, Mr. William Thomas",S
"Ringhini, Mr. Sante",C
"Palsson, Miss. Stina Viola",S
"Meyer, Mrs. Edgar Joseph (Leila Saks)",C
"Landergren, Miss. Aurora Adelia",S
"Widener, Mr. Harry Elkins",C
"Betros, Mr. Tannous",C
"Gustafsson, Mr. Karl Gideon",S
"Bidois, Miss. Rosalie",C
"Nakid, Miss. Maria (""Mary"")",C
"Tikkanen, Mr. Juho",S
"Holverson, Mrs. Alexander Oskar (Mary Aline Towner)",S
"Plotcharsky, Mr. Vasil",S
"Davies, Mr. Charles Henry",S
"Goodwin, Master. Sidney Leonard",S
"Buss, Miss. Kate",S
"Sadlier, Mr. Matthew",Q
"Lehmann, Miss. Bertha",C
"Carter, Mr. William Ernest",S
"Jansson, Mr. Carl Olof",S
"Gustafsson, Mr. Johan Birger",S
"Newell, Miss. Marjorie",C
"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",S
"Johansson, Mr. Erik",S
"Olsson, Miss. Elina",S
"McKane, Mr. Peter David",S
"Pain, Dr. Alfred",S
"Trout, Mrs. William H (Jessie L)",S
"Niskanen, Mr. Juha",S
"Adams, Mr. John",S
"Jussila, Miss. Mari Aina",S
"Hakkarainen, Mr. Pekka Pietari",S
"Oreskovic, Miss. Marija",S
"Gale, Mr. Shadrach",S
"Widegren, Mr. Carl/Charles Peter",S
"Richards, Master. William Rowe",S
"Birkeland, Mr. Hans Martin Monsen",S
"Lefebre, Miss. Ida",S
"Sdycoff, Mr. Todor",S
"Hart, Mr. Henry",Q
"Minahan, Miss. Daisy E",Q
"Cunningham, Mr. Alfred Fleming",S
"Sundman, Mr. Johan Julian",S
"Meek, Mrs. Thomas (Annie Louise Rowley)",S
"Drew, Mrs. James Vivian (Lulu Thorne Christian)",S
"Silven, Miss. Lyyli Karoliina",S
"Matthews, Mr. William John",S
"Van Impe, Miss. Catharina",S
"Gheorgheff, Mr. Stanio",C
"Charters, Mr. David",Q
"Zimmerman, Mr. Leo",S
"Danbom, Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren)",S
"Rosblom, Mr. Viktor Richard",S
"Wiseman, Mr. Phillippe",S
"Clarke, Mrs. Charles V (Ada Maria Winfield)",S
"Phillips, Miss. Kate Florence (""Mrs Kate Louise Phillips Marshall"")",S
"Flynn, Mr. James",Q
"Pickard, Mr. Berk (Berk Trembisky)",S
"Bjornstrom-Steffansson, Mr. Mauritz Hakan",S
"Thorneycroft, Mrs. Percival (Florence Kate White)",S
"Louch, Mrs. Charles Alexander (Alice Adelaide Slow)",S
"Kallio, Mr. Nikolai Erland",S
"Silvey, Mr. William Baird",S
"Carter, Miss. Lucile Polk",S
"Ford, Miss. Doolina Margaret ""Daisy""",S
"Richards, Mrs. Sidney (Emily Hocking)",S
"Fortune, Mr. Mark",S
"Kvillner, Mr. Johan Henrik Johannesson",S
"Hart, Mrs. Benjamin (Esther Ada Bloomfield)",S
"Hampe, Mr. Leon",S
"Petterson, Mr. Johan Emil",S
"Reynaldo, Ms. Encarnacion",S
"Johannesen-Bratthammer, Mr. Bernt",S
"Dodge, Master. Washington",S
"Mellinger, Miss. Madeleine Violet",S
"Seward, Mr. Frederic Kimber",S
"Baclini, Miss. Marie Catherine",C
"Peuchen, Major. Arthur Godfrey",S
"West, Mr. Edwy Arthur",S
"Hagland, Mr. Ingvald Olai Olsen",S
"Foreman, Mr. Benjamin Laventall",C
"Goldenberg, Mr. Samuel L",C
"Peduzzi, Mr. Joseph",S
"Jalsevac, Mr. Ivan",C
"Millet, Mr. Francis Davis",S
"Kenyon, Mrs. Frederick R (Marion)",S
"Toomey, Miss. Ellen",S
"O'Connor, Mr. Maurice",Q
"Anderson, Mr. Harry",S
"Morley, Mr. William",S
"Gee, Mr. Arthur H",S
"Milling, Mr. Jacob Christian",S
"Maisner, Mr. Simon",S
"Goncalves, Mr. Manuel Estanslas",S
"Campbell, Mr. William",S
"Smart, Mr. John Montgomery",S
"Scanlan, Mr. James",Q
"Baclini, Miss. Helene Barbara",C
"Keefe, Mr. Arthur",S
"Cacic, Mr. Luka",S
"West, Mrs. Edwy Arthur (Ada Mary Worth)",S
"Jerwan, Mrs. Amin S (Marie Marthe Thuillard)",C
"Strandberg, Miss. Ida Sofia",S
"Clifford, Mr. George Quincy",S
"Renouf, Mr. Peter Henry",S
"Braund, Mr. Lewis Richard",S
"Karlsson, Mr. Nils August",S
"Hirvonen, Miss. Hildur E",S
"Goodwin, Master. Harold Victor",S
"Frost, Mr. Anthony Wood ""Archie""",S
"Rouse, Mr. Richard Henry",S
"Turkula, Mrs. (Hedwig)",S
"Bishop, Mr. Dickinson H",C
"Lefebre, Miss. Jeannie",S
"Hoyt, Mrs. Frederick Maxfield (Jane Anne Forby)",S
"Kent, Mr. Edward Austin",C
"Somerton, Mr. Francis William",S
"Coutts, Master. Eden Leslie ""Neville""",S
"Hagland, Mr. Konrad Mathias Reiersen",S
"Windelov, Mr. Einar",S
"Molson, Mr. Harry Markland",S
"Artagaveytia, Mr. Ramon",C
"Stanley, Mr. Edward Roland",S
"Yousseff, Mr. Gerious",C
"Eustis, Miss. Elizabeth Mussey",C
"Shellard, Mr. Frederick William",S
"Allison, Mrs. Hudson J C (Bessie Waldo Daniels)",S
"Svensson, Mr. Olof",S
"Calic, Mr. Petar",S
"Canavan, Miss. Mary",Q
"O'Sullivan, Miss. Bridget Mary",Q
"Laitinen, Miss. Kristina Sofia",S
"Maioni, Miss. Roberta",S
"Penasco y Castellana, Mr. Victor de Satode",C
"Quick, Mrs. Frederick Charles (Jane Richards)",S
"Bradley, Mr. George (""George Arthur Brayton"")",S
"Olsen, Mr. Henry Margido",S
"Lang, Mr. Fang",S
"Daly, Mr. Eugene Patrick",Q
"Webber, Mr. James",S
"McGough, Mr. James Robert",S
"Rothschild, Mrs. Martin (Elizabeth L. Barrett)",C
"Coleff, Mr. Satio",S
"Walker, Mr. William Anderson",S
"Lemore, Mrs. (Amelia Milley)",S
"Ryan, Mr. Patrick",Q
"Angle, Mrs. William A (Florence ""Mary"" Agnes Hughes)",S
"Pavlovic, Mr. Stefo",S
"Perreault, Miss. Anne",S
"Vovk, Mr. Janko",S
"Lahoud, Mr. Sarkis",C
"Hippach, Mrs. Louis Albert (Ida Sophia Fischer)",C
"Kassem, Mr. Fared",C
"Farrell, Mr. James",Q
"Ridsdale, Miss. Lucy",S
"Farthing, Mr. John",S
"Salonen, Mr. Johan Werner",S
"Hocking, Mr. Richard George",S
"Quick, Miss. Phyllis May",S
"Toufik, Mr. Nakli",C
"Elias, Mr. Joseph Jr",C
"Peter, Mrs. Catherine (Catherine Rizk)",C
"Cacic, Miss. Marija",S
"Hart, Miss. Eva Miriam",S
"Butt, Major. Archibald Willingham",S
"LeRoy, Miss. Bertha",C
"Risien, Mr. Samuel Beard",S
"Frolicher, Miss. Hedwig Margaritha",C
"Crosby, Miss. Harriet R",S
"Andersson, Miss. Ingeborg Constanzia",S
"Andersson, Miss. Sigrid Elisabeth",S
"Beane, Mr. Edward",S
"Douglas, Mr. Walter Donald",C
"Nicholson, Mr. Arthur Ernest",S
"Beane, Mrs. Edward (Ethel Clarke)",S
"Padro y Manent, Mr. Julian",C
"Goldsmith, Mr. Frank John",S
"Davies, Master. John Morgan Jr",S
"Thayer, Mr. John Borland Jr",C
"Sharp, Mr. Percival James R",S
"O'Brien, Mr. Timothy",Q
"Leeni, Mr. Fahim (""Philip Zenni"")",C
"Ohman, Miss. Velin",S
"Wright, Mr. George",S
"Duff Gordon, Lady. (Lucille Christiana Sutherland) (""Mrs Morgan"")",C
"Robbins, Mr. Victor",C
"Taussig, Mrs. Emil (Tillie Mandelbaum)",S
"de Messemaeker, Mrs. Guillaume Joseph (Emma)",S
"Morrow, Mr. Thomas Rowan",Q
"Sivic, Mr. Husein",S
"Norman, Mr. Robert Douglas",S
"Simmons, Mr. John",S
"Meanwell, Miss. (Marion Ogden)",S
"Davies, Mr. Alfred J",S
"Stoytcheff, Mr. Ilia",S
"Palsson, Mrs. Nils (Alma Cornelia Berglund)",S
"Doharr, Mr. Tannous",C
"Jonsson, Mr. Carl",S
"Harris, Mr. George",S
"Appleton, Mrs. Edward Dale (Charlotte Lamson)",S
"Flynn, Mr. John Irwin (""Irving"")",S
"Kelly, Miss. Mary",Q
"Rush, Mr. Alfred George John",S
"Patchett, Mr. George",S
"Garside, Miss. Ethel",S
"Silvey, Mrs. William Baird (Alice Munger)",S
"Caram, Mrs. Joseph (Maria Elias)",C
"Jussila, Mr. Eiriik",S
"Christy, Miss. Julie Rachel",S
"Thayer, Mrs. John Borland (Marian Longstreth Morris)",C
"Downton, Mr. William James",S
"Ross, Mr. John Hugo",C
"Paulner, Mr. Uscher",C
"Taussig, Miss. Ruth",S
"Jarvis, Mr. John Denzil",S
"Frolicher-Stehli, Mr. Maxmillian",C
"Gilinski, Mr. Eliezer",S
"Murdlin, Mr. Joseph",S
"Rintamaki, Mr. Matti",S
"Stephenson, Mrs. Walter Bertram (Martha Eustis)",C
"Elsbury, Mr. William James",S
"Bourke, Miss. Mary",Q
"Chapman, Mr. John Henry",S
"Van Impe, Mr. Jean Baptiste",S
"Leitch, Miss. Jessie Wills",S
"Johnson, Mr. Alfred",S
"Boulos, Mr. Hanna",C
"Duff Gordon, Sir. Cosmo Edmund (""Mr Morgan"")",C
"Jacobsohn, Mrs. Sidney Samuel (Amy Frances Christy)",S
"Slabenoff, Mr. Petco",S
"Harrington, Mr. Charles H",S
"Torber, Mr. Ernst William",S
"Homer, Mr. Harry (""Mr E Haven"")",C
"Lindell, Mr. Edvard Bengtsson",S
"Karaic, Mr. Milan",S
"Daniel, Mr. Robert Williams",S
"Laroche, Mrs. Joseph (Juliette Marie Louise Lafargue)",C
"Shutes, Miss. Elizabeth W",S
"Andersson, Mrs. Anders Johan (Alfrida Konstantia Brogren)",S
"Jardin, Mr. Jose Neto",S
"Murphy, Miss. Margaret Jane",Q
"Horgan, Mr. John",Q
"Brocklebank, Mr. William Alfred",S
"Herman, Miss. Alice",S
"Danbom, Mr. Ernst Gilbert",S
"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",S
"Becker, Miss. Marion Louise",S
"Gavey, Mr. Lawrence",S
"Yasbeck, Mr. Antoni",C
"Kimball, Mr. Edwin Nelson Jr",S
"Nakid, Mr. Sahid",C
"Hansen, Mr. Henry Damsgaard",S
"Bowen, Mr. David John ""Dai""",S
"Sutton, Mr. Frederick",S
"Kirkland, Rev. Charles Leonard",Q
"Longley, Miss. Gretchen Fiske",S
"Bostandyeff, Mr. Guentcho",S
"O'Connell, Mr. Patrick D",Q
"Barkworth, Mr. Algernon Henry Wilson",S
"Lundahl, Mr. Johan Svensson",S
"Stahelin-Maeglin, Dr. Max",C
"Parr, Mr. William Henry Marsh",S
"Skoog, Miss. Mabel",S
"Davis, Miss. Mary",S
"Leinonen, Mr. Antti Gustaf",S
"Collyer, Mr. Harvey",S
"Panula, Mrs. Juha (Maria Emilia Ojala)",S
"Thorneycroft, Mr. Percival",S
"Jensen, Mr. Hans Peder",S
"Sagesser, Mlle. Emma",C
"Skoog, Miss. Margit Elizabeth",S
"Foo, Mr. Choong",S
"Baclini, Miss. Eugenie",C
"Harper, Mr. Henry Sleeper",C
"Cor, Mr. Liudevit",S
"Simonius-Blumer, Col. Oberst Alfons",C
"Willey, Mr. Edward",S
"Stanley, Miss. Amy Zillah Elsie",S
"Mitkoff, Mr. Mito",S
"Doling, Miss. Elsie",S
"Kalvik, Mr. Johannes Halvorsen",S
"O'Leary, Miss. Hanora ""Norah""",Q
"Hegarty, Miss. Hanora ""Nora""",Q
"Hickman, Mr. Leonard Mark",S
"Radeff, Mr. Alexander",S
"Bourke, Mrs. John (Catherine)",Q
"Eitemiller, Mr. George Floyd",S
"Newell, Mr. Arthur Webster",C
"Frauenthal, Dr. Henry William",S
"Badt, Mr. Mohamed",C
"Colley, Mr. Edward Pomeroy",S
"Coleff, Mr. Peju",S
"Lindqvist, Mr. Eino William",S
"Hickman, Mr. Lewis",S
"Butler, Mr. Reginald Fenton",S
"Rommetvedt, Mr. Knud Paust",S
"Cook, Mr. Jacob",S
"Taylor, Mrs. Elmer Zebley (Juliet Cummins Wright)",S
